#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
0,7.9890486,3.90e-06,0,7
0,8.0109514,0,4.18e-06,8
0,8.019165,3.90e-06,4.18e-06,8
0,8.0219028,0,.0000209,8
0,8.0273785,3.83e-06,4.10e-06,8
0,8.0301164,3.83e-06,0,8
0,8.0328542,3.83e-06,0,8
0,8.0410678,0,4.09e-06,8
0,8.0574949,0,4.09e-06,8
0,8.0629706,0,4.09e-06,8
0,8.0848734,3.81e-06,4.08e-06,8
0,8.0876112,3.81e-06,0,8
0,8.0903491,3.81e-06,0,8
0,8.0930869,7.61e-06,0,8
0,8.0958248,3.80e-06,4.07e-06,8
0,8.1122519,3.79e-06,0,8
0,8.1149897,0,4.06e-06,8
0,8.1259411,3.79e-06,4.05e-06,8
0,8.128679,3.79e-06,0,8
0,8.1505818,0,4.05e-06,8
0,8.1533196,3.78e-06,0,8
0,8.1615332,3.78e-06,4.04e-06,8
0,8.1779603,3.77e-06,4.04e-06,8
0,8.1806982,0,8.07e-06,8
0,8.183436,3.77e-06,4.03e-06,8
0,8.1889117,3.77e-06,0,8
0,8.1916496,3.77e-06,0,8
0,8.1943874,0,4.03e-06,8
0,8.1971253,3.77e-06,0,8
0,8.2080767,3.76e-06,0,8
0,8.2108145,7.52e-06,0,8
0,8.2162902,0,4.01e-06,8
0,8.238193,3.74e-06,0,8
0,8.2436687,3.74e-06,0,8
0,8.2491444,0,3.99e-06,8
0,8.2518823,.0000112,3.99e-06,8
0,8.257358,0,7.98e-06,8
0,8.2655715,7.46e-06,0,8
0,8.2683094,3.73e-06,0,8
0,8.2710472,0,3.99e-06,8
0,8.2737851,3.73e-06,0,8
0,8.2765229,3.73e-06,0,8
0,8.2792608,3.73e-06,0,8
0,8.2819986,0,3.98e-06,8
0,8.2874743,7.46e-06,0,8
0,8.2902122,3.73e-06,0,8
0,8.29295,0,3.98e-06,8
0,8.3011636,3.72e-06,0,8
0,8.3066393,3.72e-06,3.98e-06,8
0,8.3258042,7.43e-06,0,8
0,8.3285421,3.72e-06,3.97e-06,8
0,8.3340178,0,3.97e-06,8
0,8.3367556,0,3.97e-06,8
0,8.3449692,7.43e-06,0,8
0,8.347707,7.43e-06,0,8
0,8.3504449,0,4.14e-06,8
0,8.3531828,3.87e-06,0,8
0,8.3641342,3.87e-06,0,8
0,8.366872,3.87e-06,0,8
0,8.3723477,3.87e-06,0,8
0,8.3778234,3.87e-06,0,8
0,8.3832991,3.87e-06,4.14e-06,8
0,8.3997262,3.86e-06,0,8
0,8.4024641,3.86e-06,0,8
